PS C:\Projects\DE2026_DataOPS_HW\HW23> docker compose logs airflow-webserver
airflow_webserver  | 
airflow_webserver  | [2026-03-11T20:09:06.216+0000] {override.py:1962} INFO - Added Permission menu access on Task Instances to role Viewer       
airflow_webserver  | [2026-03-11T20:09:06.221+0000] {override.py:1507} INFO - Inserted Role: User
airflow_webserver  | [2026-03-11T20:09:06.226+0000] {override.py:1962} INFO - Added Permission can read on DAGs to role User
airflow_webserver  | [2026-03-11T20:09:06.231+0000] {override.py:1962} INFO - Added Permission can read on DAG Dependencies to role User
airflow_webserver  | [2026-03-11T20:09:06.237+0000] {override.py:1962} INFO - Added Permission can read on DAG Code to role User
airflow_webserver  | [2026-03-11T20:09:06.240+0000] {override.py:1962} INFO - Added Permission can read on DAG Runs to role User
airflow_webserver  | [2026-03-11T20:09:06.245+0000] {override.py:1962} INFO - Added Permission can read on Datasets to role User
airflow_webserver  | [2026-03-11T20:09:06.251+0000] {override.py:1962} INFO - Added Permission can read on Cluster Activity to role User
airflow_webserver  | [2026-03-11T20:09:06.255+0000] {override.py:1962} INFO - Added Permission can read on Pools to role User
airflow_webserver  | [2026-03-11T20:09:06.261+0000] {override.py:1962} INFO - Added Permission can read on ImportError to role User
airflow_webserver  | [2026-03-11T20:09:06.268+0000] {override.py:1962} INFO - Added Permission can read on DAG Warnings to role User
airflow_webserver  | [2026-03-11T20:09:06.271+0000] {override.py:1962} INFO - Added Permission can read on Jobs to role User
airflow_webserver  | [2026-03-11T20:09:06.274+0000] {override.py:1962} INFO - Added Permission can read on My Password to role User
airflow_webserver  | [2026-03-11T20:09:06.279+0000] {override.py:1962} INFO - Added Permission can edit on My Password to role User
airflow_webserver  | [2026-03-11T20:09:06.282+0000] {override.py:1962} INFO - Added Permission can read on My Profile to role User
airflow_webserver  | [2026-03-11T20:09:06.285+0000] {override.py:1962} INFO - Added Permission can edit on My Profile to role User
